groundTruth detectedClass Score Error
bottle_1 bottle_1 0.0783719 1
bottle_1 pack_1 0.00195345 38.5876
bottle_1 bottle_2 0.00205785 11
bottle_1 pack_2 0.00160009 15.2971
bottle_1 bottle_1 0.0780277 1
bottle_1 pack_1 0.00197035 39.6611
bottle_1 bottle_2 0.00197379 12.0416
bottle_1 pack_2 0.00167083 15
bottle_1 bottle_1 0.077614 1
bottle_1 pack_1 0.00192198 39.6611
bottle_1 bottle_2 0.00188373 11.0454
bottle_1 pack_2 0.00154806 14
bottle_1 bottle_1 0.075758 1
bottle_1 pack_1 0.00191307 39.6611
bottle_1 bottle_2 0.00194489 12.0416
bottle_1 pack_2 0.00148322 15.1327
bottle_1 bottle_1 0.0751583 1
bottle_1 pack_1 0.00184607 39.6611
bottle_1 bottle_2 0.00184451 11.0454
bottle_1 pack_2 0.00144394 15.1327
bottle_1 bottle_1 0.0740935 1
bottle_1 pack_1 0.00182239 39.6611
bottle_1 bottle_2 0.00195412 14.0357
bottle_1 pack_2 0.00146245 15.1327
bottle_1 bottle_1 0.0747081 1
bottle_1 pack_1 0.00183347 39.6611
bottle_1 bottle_2 0.00187589 14.0357
bottle_1 pack_2 0.00147209 15.2971
bottle_1 bottle_1 0.0739425 1
bottle_1 pack_1 0.0017996 39.6611
bottle_1 bottle_2 0.00172314 11.0454
bottle_1 pack_2 0.00145808 16.2788
bottle_1 bottle_1 0.0744527 1
bottle_1 pack_1 0.00170833 39.6611
bottle_1 bottle_2 0.00168765 11.0454
bottle_1 pack_2 0.00147144 15.8114
bottle_1 bottle_1 0.0739712 1
bottle_1 pack_1 0.00169498 39.6611
bottle_1 bottle_2 0.00170135 12.0416
bottle_1 pack_2 0.00146558 15.2971
bottle_1 bottle_1 0.0757443 0
bottle_1 pack_1 0.00187467 39.6611
bottle_1 bottle_2 0.00138993 9.21954
bottle_1 pack_2 0.00131183 15.0333
bottle_1 bottle_1 0.0733429 1
bottle_1 pack_1 0.00167419 39.6611
bottle_1 bottle_2 0.00149812 9
bottle_1 pack_2 0.00154596 16.7631
bottle_1 bottle_1 0.0733881 1
bottle_1 pack_1 0.00171846 39.6611
bottle_1 bottle_2 0.00167848 12.0416
bottle_1 pack_2 0.00155845 15.1327
bottle_1 bottle_1 0.0738214 1
bottle_1 pack_1 0.00168852 39.6611
bottle_1 bottle_2 0.00164655 12
bottle_1 pack_2 0.00163495 16
bottle_1 bottle_1 0.0727422 1
bottle_1 pack_1 0.00177496 39.6611
bottle_1 bottle_2 0.00164642 9
bottle_1 pack_2 0.00154342 15
bottle_1 bottle_1 0.0731705 0
bottle_1 pack_1 0.00190509 28.4253
bottle_1 bottle_2 0.00184834 11.0454
bottle_1 pack_2 0.00168132 16
bottle_1 bottle_1 0.0735577 0
bottle_1 pack_1 0.00188121 13.9284
bottle_1 bottle_2 0.00184452 12.0416
bottle_1 pack_2 0.0017021 15.1327
bottle_1 bottle_1 0.0747512 0
bottle_1 pack_1 0.00187622 34.4819
bottle_1 bottle_2 0.00162199 9.05539
bottle_1 pack_2 0.00171305 16.1245
bottle_1 bottle_1 0.0737566 0
bottle_1 pack_1 0.00187352 23.3452
bottle_1 bottle_2 0.00172706 11
bottle_1 pack_2 0.0017429 15.0333
